site,url,jobs,location,location_tambahan,location_tambahan_xx,qualification,experience,salary,length
jobs.id,https://www.jobs.id/lowongan/MjcxODUw/promotor-gemilang-electronics-indonesia-joy-exchange-pt?qt_ref=search&qt_page=1&qt_pos=0,Promotor,Jakarta Selatan dan ,2 kota lainnya,<div class='col-xs-12'><div class='col-xs-12 city-name'>Depok</div><div class='col-xs-12 city-name'>Jakarta Raya</div></div>,"<div class=""job_req""><div data-pasted=""1"">
<p>Saat ini kami sedang membutuhkan 100 orang promotor tukar tambah handphone untuk penempatan di Jakarta Selatan dan Depok</p>
<p>Persyaratan :</p>
<ol>
<li>Pria / Wanita</li>
<li>Good looking dan berpenampilan menarik</li>
<li>Usia max 27 tahun untuk wanita dan 30 tahun untuk pria</li>
<li>Pendidikan min SMK / sederajat</li>
<li>Berpengalaman / non pengalaman</li>
<li>Aktif, komunikatif, dan disiplin</li>
<li>Bisa bekerja dengan target</li>
</ol>

<p>Bagi yang berminat bergabung diperusahaan kami kirimkan CV anda dan apply sekarang juga !</p>
<div data-pasted=""1""> </div>
<div data-pasted=""1""> </div>
</div></div>",Fresh Graduate akan dipertimbangkan,IDR  1.975.000 - 3.950.000,6
jobs.id,https://www.jobs.id/lowongan/MjcxNTg5/salesmarketing-manager-bandhu-abadi-indonesia-kastara-pt?qt_ref=search&qt_page=1&qt_pos=24,Sales/marketing Manager,Tangerang,,,"<div class=""job_req""><div data-pasted=""1"">Sales pria dan wanita</div>
<div data-pasted=""1"">
<div data-pasted=""1"">Pengalaman sales min. 3 tahun</div>
<div data-pasted=""1"">
<div data-pasted=""1"">Untuk wilayah Banten, Jawa Barat, Sumatera</div>
</div>
</div></div>",null,IDR  2.000.000 - 4.000.000,4
jobs.id,https://www.jobs.id/lowongan/MjcxMTE2/operator-boiler-haida-agriculture-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=23,Operator Boiler,Pasuruan,,,"<div class=""job_req""><div data-pasted=""1"">
<div data-pasted=""1"">
<ul>
<li>Pendidikan minimal SMA/SMK Sederajat jurusan terkait,</li>
<li>Pengalaman minimal 3 tahun di pengoperasian Boiler</li>
<li>Dapat bekerja sama dengan tim atau individu</li>
<li>Dapat bekerja dibawah tekanan, bertanggung jawab, disiplin, jujur, cekatan, berinisiatif dan komuikatif</li>
<li>Memahami tentang safety operation mesin dan perangkat yang berhubungan di ruang boiler,</li>
<li>Memiliki sertifikat operasi bidang terkait</li>
<li>Paham uji kualitas air</li>
</ul>
</div>
</div></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/MTgwMDY0/greater-receptionist-rempah-wangi-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=22,Greater (Receptionist),Jakarta Raya,,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Wanita</li>
<li>Min SMU / D1</li>
<li>Pengalaman min 2 thn</li>
<li>good looking, good sales skill, good attitude</li>
</ul>
</div></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/MjY4OTc5/production-assistant-ruang-raya-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=21,Production Assistant,Jakarta Selatan,,,"<div class=""job_req""><ul>
<li>Hold minimum high school degree or equivalent with a year of experience as Production Assistant is required.</li>
<li>Creative in camera framing</li>
<li>Must be able to work on a team</li>
<li>Have a good understanding on production and post-production workflow</li>
<li>Have a good understanding on camera set-up (aperture, focus, speed, iso, etc.)</li>
<li>Possess understanding how to operate Adobe After Effects is a plus</li>
</ul></div>",Fresh Graduate akan dipertimbangkan,Gaji Dirahasiakan,6
jobs.id,https://www.jobs.id/lowongan/MjY3ODIx/chief-accountant-tiga-rasa-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=20,Chief Accountant,Surabaya,,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Wanita</li>
<li>Pendidikan S1 Akutansi dan Pajak (Brevet A &amp; B )</li>
<li>Pengalaman Kerja 2 tahun</li>
<li>Usia max 35 tahun</li>
<li>Mampu mengoperasikan &amp; menguasai computer (Ms Office, Excel &amp; Program Accounting)</li>
<li>Mampu membuat laporan keuangan dan perpajakan</li>
<li>Bermotivasi tinggi, mau bekerja keras, jujur dan teliti</li>
</ul>
<div>
<div> </div>
</div>

</div></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/MjY5OTUy/sales-executive-hotware-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=19,Sales Executive,Bandung,,,"<div class=""job_req""><div data-pasted=""1"">
<ul>
<li>Berkepribadian menarik</li>
<li>Terbiasa bekerja di bawah tekanan (under pressure)</li>
<li>Mempunyai kemampuan lobbying dan negosiasi</li>
<li>Mempunyai komunikasi yang baik dan menguasai audience</li>
<li>Mempunyai kemampuan dibidang Marketing lebih diutamakan</li>
<li>Bertanggung jawab terhadap owner</li>
<li>
<div style=""display: inline !important;"">Pengalaman minimal 1 tahun di bidang Marketing</div>
</li>
<li>Menguasai IT/Komputer</li>
<li>Mempunyai komunikasi yang baik dan menguasai audience</li>
</ul>
<div> </div>
</div></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/OTg1OTc/customer-service-online-shop-laku-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=18,Customer Service Online Shop,Bandung,,,"<div class=""job_req""><ul>
<li>Usia Min 18thn</li>
<li>Minimal Pendidikan SMA/SMK Sederajat</li>
<li>Sopan, Sabar, Jujur, Teliti dan Cepat Cekatan</li>
<li>Jadwal Kerja : Full Time.</li>
</ul></div>",null,Gaji Dirahasiakan,4
jobs.id,https://www.jobs.id/lowongan/MjcxNTU4/staff-hr-ga-japanese-speaker-nippisun-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=17,Staff HR & GA ( Japanese Speaker ),Bekasi,,,"<div class=""job_req""><div data-pasted=""1"">
<p style=""background-color: transparent; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 11px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; min-height: 0px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Jenis Kelamin  :  Wanita / Pria</p>
<p style=""background-color: transparent; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 11px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; min-height: 0px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Usia               :  Max 35 Tahun</p>
<p style=""background-color: transparent; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 11px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; min-height: 0px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Kemampuan   :  Bahasa Jepang Lisan &amp; Tulisan ( Harus )</p>
<p style=""background-color: transparent; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 11px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; min-height: 0px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">                        Bahasa Inggris Aktif</p>
<p style=""background-color: transparent; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 11px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; min-height: 0px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">                        Komunikatif</p>
<p style=""background-color: transparent; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 11px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; min-height: 0px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">                        Bisa Mengoperasikan Komputer ( Ms. Office )</p>
<p style=""background-color: transparent; color: #000000; font-family: Verdana,Arial,Helvetica,sans-serif; font-size: 11px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; min-height: 0px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">                        Mempunyai SIM A ( Nilai Lebih )</p>
</div></div>",Fresh Graduate akan dipertimbangkan,IDR  4.500.000 - 8.000.000,6
jobs.id,https://www.jobs.id/lowongan/MTU0NDY0/mold-specialist-techpack-asia-pt?qt_ref=search&qt_page=1&qt_pos=16,Mold Specialist,Surabaya,1 kota lainnya,<div class='col-xs-12'><div class='col-xs-12 city-name'>Jakarta Raya</div></div>,"<div class=""job_req""><ul>
<li style=""text-align: justify;"">Must have minimum 4 years of Plastic Injection Molding Design</li>
<li style=""text-align: justify;"">Must have experience in modification of Plastic Injection Molds</li>
<li style=""text-align: justify;"">Experience in troubleshooting molding, injection, and blow problems</li>
<li style=""text-align: justify;"">Minimum D3 / S1 Mechanical Engineering or relevant discipline</li>
<li style=""text-align: justify;"">In-depth Knowledge of Unigraphics, Solidworks, Pro-Engineer, Moldflow software and Finite Element Analysis are highly regarded</li>
<li style=""text-align: justify;"">Experience in sensitive material such as SAN, ABS, PP, PE, PS and etc.</li>
<li style=""text-align: justify;"">Work involved designing packaging container and bottles molds  for the Packaging industries</li>
<li style=""text-align: justify;"">Able to work independently</li>
<li style=""text-align: justify;"">A good communicator is desired but not essential</li>
<li style=""text-align: justify;"">Must be pro-active and able to meet deadline</li>
<li style=""text-align: justify;"">Have good communication skills and can work within a team or individually  with minimum supervision</li>
<li style=""text-align: justify;"">Excellent in operating Microsoft Office OS and manufacture machines (lathe, mill, CNC, EDM, welding etc)</li>
<li style=""text-align: justify;"">Willing to learn, display fast learner skill and able to work under pressure</li>
<li style=""text-align: justify;"">Fluent and able to communicate and written in English</li>
<li style=""text-align: justify;"">Willing to Work in <strong>Surabaya</strong></li>
</ul><br>[Posisi Prioritas]</div>",null,Gaji Dirahasiakan,4
